,transaction_amount,quantity,customer_age,is_fraudulent,account_age_days,transaction_hour,transaction_day,transaction_month,encoded_payment_method,encoded_product_category,encoded_device_used
192,539.07,1,27,0,28,13,5,2,0,3,2
194,1080.75,3,30,0,200,20,0,1,3,3,2
195,401.43,2,27,0,6,1,5,3,0,1,2
196,24.96,5,55,0,363,14,4,1,3,3,1
197,131.68,1,31,0,166,14,6,3,1,0,2
198,573.85,3,26,1,22,13,0,1,1,4,0
199,141.91,4,32,0,64,1,5,1,1,3,1
200,25.01,4,23,0,240,18,6,3,1,0,2
201,171.26,5,37,0,136,5,6,2,2,1,1
202,297.79,5,17,0,175,16,0,4,2,4,2
203,27.6,5,46,0,155,23,5,3,3,4,0
204,30.94,4,36,0,95,15,4,3,1,0,0
205,92.88,3,33,0,36,22,6,3,3,3,2
206,172.99,5,35,0,302,4,6,3,2,0,2
207,107.48,4,35,0,219,12,3,2,3,3,2
208,31.4,4,30,0,201,16,0,2,0,4,1
209,33.49,4,32,0,138,22,5,3,3,3,0
210,235.49,3,33,0,246,19,3,2,2,3,2
211,11.26,5,27,0,276,18,3,2,2,2,1
212,265.31,1,34,0,32,12,1,3,2,1,0
213,239.58,2,30,0,230,10,5,1,2,1,0
214,126.27,4,29,0,167,10,2,2,3,3,0
215,60.07,4,20,0,203,7,1,3,0,0,2
216,30.16,3,39,0,239,3,0,2,1,4,0
217,395.77,3,26,0,171,11,6,1,2,2,1
218,139.59,5,36,0,329,0,5,2,3,3,0
219,525.33,2,37,0,316,1,0,1,2,3,0
220,10.22,4,32,0,287,20,5,2,2,0,2
221,51.65,5,31,0,176,1,6,3,3,4,1
222,89.89,2,42,0,17,7,1,2,3,0,1
223,208.16,5,32,0,83,14,1,3,0,2,2
224,324.18,1,50,0,110,16,2,1,1,0,2
225,307.61,4,49,0,95,5,5,1,3,3,2
227,78.51,3,44,0,1,10,5,2,1,3,2
228,147.06,1,42,0,326,8,6,1,0,1,0
229,984.16,3,48,0,265,2,3,2,0,3,0
230,77.67,1,44,0,131,15,0,1,2,2,0
231,130.65,5,48,0,217,21,4,3,1,0,1
232,225.17,4,37,0,126,11,2,1,0,2,0
233,463.41,2,32,0,176,6,6,2,3,1,2
234,209.55,2,19,0,247,4,6,3,2,3,0
235,130.29,4,32,0,308,15,0,3,1,0,0
236,58.24,4,38,0,215,11,3,1,2,3,0
237,56.61,3,27,0,175,3,6,3,1,4,1
238,209.54,1,33,0,120,11,6,2,1,2,0
239,55.57,4,23,0,359,6,6,3,0,1,2
240,290.14,3,23,0,90,15,5,1,2,4,0
241,120.6,4,50,0,66,0,2,1,3,1,0
242,126.76,3,28,0,269,10,5,3,2,0,1
243,142.41,5,33,0,79,11,1,1,0,1,0
244,312.15,5,33,0,108,15,5,3,1,2,0
245,64.1,4,30,0,303,9,5,3,1,1,2
246,44.01,2,41,0,350,0,6,2,1,2,0
247,40.31,5,26,0,259,19,2,2,0,1,0
248,143.29,3,25,0,31,14,3,3,0,0,0
249,451.05,2,17,0,185,3,0,3,2,1,0
250,232.84,1,28,0,41,4,4,1,2,4,2
251,179.74,2,22,0,348,2,6,1,2,0,1
252,135.76,1,42,0,67,16,2,1,3,2,0
253,101.56,4,36,0,237,6,5,1,1,0,0
254,790.62,2,37,0,361,20,5,2,3,3,1
256,18.91,1,20,0,31,20,2,2,3,3,1
257,149.69,3,39,0,184,17,1,1,3,1,1
258,212.36,1,45,0,318,9,2,1,0,3,1
259,236.71,2,33,0,116,17,4,1,0,1,1
260,349.99,1,38,0,327,12,2,3,0,3,2
261,186.84,3,41,0,291,18,1,3,0,2,2
262,617.49,2,40,0,309,9,5,1,3,2,1
263,422.01,1,32,0,200,1,5,2,1,3,2
264,129.67,5,51,0,113,1,5,1,3,0,1
265,12.66,1,36,0,152,15,6,1,2,0,2
266,127.53,3,35,0,250,14,1,3,0,4,2
267,162.86,4,44,0,66,7,5,3,2,4,2
268,55.9,5,33,0,277,3,0,2,1,0,2
269,348.49,4,41,0,8,2,0,2,1,1,2
270,55.95,5,34,0,323,1,2,4,1,3,1
271,27.68,5,42,0,301,0,0,2,3,3,2
272,223.0,1,23,0,263,16,5,1,2,2,2
273,197.31,2,42,0,19,18,6,2,0,2,2
274,38.36,5,43,0,251,12,2,2,3,1,2
275,282.7,4,35,0,199,9,1,2,0,2,0
276,235.97,3,37,0,52,22,3,2,1,3,2
277,28.79,1,66,0,53,10,3,1,3,1,2
278,247.06,3,16,0,56,8,4,3,3,1,0
279,40.63,3,25,0,338,0,4,2,0,4,0
280,210.93,5,23,0,154,5,6,3,2,4,2
281,101.31,1,35,0,268,10,2,3,3,0,1
282,857.98,2,22,0,295,4,2,1,3,0,0
283,71.84,3,38,0,17,8,6,3,2,2,2
284,12.28,2,42,0,32,4,4,2,0,2,0
285,172.66,5,26,0,175,17,4,2,1,4,1
286,44.88,2,50,0,323,6,4,1,1,0,0
287,84.15,4,34,0,243,13,6,2,1,3,2
288,57.78,5,33,0,317,17,1,3,3,1,2
289,19.76,2,39,0,51,12,0,3,2,1,0
290,320.25,5,43,0,238,3,4,2,0,1,1
291,88.95,2,38,0,298,7,4,3,2,1,1
292,42.72,2,31,0,284,17,5,3,0,0,1
293,145.6,5,38,0,327,15,0,1,2,1,0
294,271.17,1,31,0,19,0,2,1,3,0,0
295,126.15,4,24,0,324,0,0,2,1,4,1
296,221.19,5,22,0,188,7,4,3,1,0,2
298,451.57,3,39,0,161,4,6,1,2,2,1
299,122.3,2,46,0,332,5,0,3,1,3,0
301,43.23,2,31,0,186,6,0,1,3,1,1
302,372.48,3,22,0,253,22,6,3,3,0,0
303,53.23,3,48,0,22,6,2,2,2,3,2
304,73.9,4,30,0,338,3,4,3,0,4,1
305,448.16,3,28,0,168,17,6,2,1,2,0
306,134.4,2,30,0,232,1,2,1,1,3,2
307,82.88,1,41,0,318,9,6,3,0,1,2
308,56.34,1,27,0,109,8,5,3,0,1,0
309,316.12,4,53,0,108,4,2,1,3,0,1
310,129.58,1,42,0,120,8,5,2,1,4,0
311,94.93,2,39,0,244,20,3,1,1,4,1
312,181.04,3,28,0,275,21,4,2,1,2,2
313,194.35,4,37,0,314,9,4,1,2,4,1
314,58.85,5,31,0,269,8,3,3,0,1,2
315,340.93,4,33,0,161,6,2,2,3,3,0
316,403.6,3,27,0,284,10,5,3,0,2,2
317,366.0,5,48,0,360,23,3,3,1,1,1
319,150.78,1,33,0,157,1,6,3,3,3,0
320,24.36,1,34,0,250,15,0,1,0,2,1
321,119.66,3,40,0,34,7,5,3,2,3,0
323,156.43,3,26,0,74,17,0,4,2,3,2
324,58.49,5,44,0,237,17,5,2,0,2,2
325,79.6,4,37,0,352,7,3,3,2,1,2
326,94.76,3,37,0,62,5,3,3,3,2,0
327,385.98,5,35,0,212,12,5,1,0,4,1
328,50.92,4,40,0,86,3,5,3,3,4,1
329,195.76,2,22,0,291,17,1,2,1,3,2
330,41.75,5,37,0,156,2,3,2,0,0,1
331,38.32,5,29,0,287,4,4,2,1,2,2
332,117.2,3,43,0,322,23,5,1,1,2,0
333,106.09,5,52,1,271,3,5,1,1,3,1
334,104.06,4,35,0,314,14,6,2,3,0,2
335,114.94,4,42,1,30,12,2,2,1,1,0
336,69.17,3,48,0,5,9,3,1,1,2,0
337,322.42,5,40,0,46,8,0,2,2,4,0
338,40.63,5,48,0,98,6,4,1,2,2,1
339,758.15,3,26,1,4,22,2,3,1,4,1
340,205.2,5,34,0,239,0,2,1,2,3,1
341,236.23,3,44,0,351,0,2,3,2,0,2
342,103.24,3,34,1,201,5,3,2,3,1,2
343,40.96,5,24,0,124,12,2,1,2,4,0
344,303.27,3,51,0,256,19,4,3,3,1,1
346,75.95,2,40,0,16,13,1,1,1,2,1
347,136.77,4,16,0,67,14,3,2,3,2,1
348,401.92,3,31,0,231,12,1,2,0,4,2
349,425.32,3,49,0,166,14,0,2,1,2,1
350,355.13,2,38,0,261,20,0,1,2,3,0
351,112.71,2,44,0,105,6,5,3,0,1,2
352,27.95,1,31,0,187,12,4,2,1,4,1
353,75.12,5,55,0,214,17,2,1,3,1,0
354,95.03,3,42,0,53,21,5,3,2,3,2
355,56.77,5,40,0,164,19,4,1,2,4,0
356,187.16,2,17,0,353,3,0,1,0,2,1
357,63.15,5,47,0,94,3,0,3,2,3,0
358,421.17,1,53,0,228,19,3,2,3,2,1
359,246.5,2,43,0,288,3,4,2,0,4,1
360,24.24,1,39,0,212,22,4,2,1,3,2
361,264.82,3,45,0,137,5,1,1,3,4,2
362,100.67,2,29,0,197,19,2,2,0,3,1
363,513.98,4,66,0,229,18,0,2,3,2,1
364,886.7,3,49,0,344,9,3,2,2,3,0
365,168.51,2,25,0,161,14,5,3,2,0,2
366,59.9,4,22,0,5,21,0,3,0,2,0
367,60.98,1,31,0,208,7,3,2,0,1,1
368,190.49,5,31,0,278,9,2,2,1,3,1
369,204.62,1,43,0,304,16,6,2,3,2,1
370,180.91,1,34,0,87,12,4,1,2,1,2
371,137.25,4,50,0,125,23,0,4,1,4,2
372,1679.95,5,27,1,24,0,5,2,0,3,1
373,2234.15,4,49,1,342,0,3,2,2,2,1
374,23.17,4,32,0,270,8,1,1,0,1,0
375,353.69,1,33,0,91,7,0,2,0,2,2
376,90.54,4,31,0,246,1,5,3,1,4,2
377,148.76,3,28,0,86,19,3,2,1,1,1
378,777.35,5,32,0,230,14,1,3,1,2,1
379,64.26,4,52,0,84,17,6,2,0,4,0
380,813.8,1,20,1,234,7,6,1,3,3,2
381,27.44,2,43,0,286,9,0,2,1,4,0
382,117.01,3,52,0,353,10,0,2,0,1,2
383,51.19,3,40,0,55,2,2,1,3,3,0
384,641.75,1,28,0,357,0,3,2,0,3,2
385,217.38,2,36,0,95,11,4,2,2,4,2
386,128.26,4,40,0,153,17,5,1,1,2,2
387,66.87,4,40,0,114,6,6,3,1,4,0
388,22.88,1,31,0,124,5,4,2,3,2,1
389,308.85,5,28,0,157,8,1,1,3,1,1
390,128.98,3,41,0,38,1,0,4,2,1,2
391,129.17,3,30,0,102,22,2,1,2,4,2
392,108.63,2,25,0,168,23,6,1,2,2,1
393,349.67,2,32,0,262,10,5,3,1,4,2
394,310.34,3,53,0,237,16,2,3,0,3,0
395,176.79,1,29,0,216,21,5,1,2,1,0
396,76.08,1,39,0,45,15,0,1,0,1,0
397,180.95,4,46,0,85,5,2,1,1,3,0
398,416.13,2,27,0,79,6,2,1,0,2,0
399,63.98,3,31,0,264,8,1,1,0,4,0
400,30.57,4,33,0,291,5,0,3,3,0,0
401,450.73,2,52,0,197,1,6,2,3,0,2
402,450.69,3,34,0,318,23,1,1,0,2,2
403,177.42,1,22,0,128,12,4,2,1,1,0
404,345.71,5,44,0,234,21,4,3,1,4,2
405,279.71,3,48,0,204,20,6,2,3,4,0
406,217.66,1,30,0,69,10,5,3,0,0,1
408,259.28,3,30,0,330,8,1,1,0,1,1
409,354.32,3,28,0,135,7,4,3,1,3,0
410,108.99,3,41,0,272,21,4,1,3,2,0
411,609.02,1,44,0,162,7,4,2,0,1,2
412,35.21,4,33,0,215,7,2,3,0,2,2
413,69.63,5,32,0,129,18,2,2,1,4,1
414,556.18,4,38,1,2,6,4,3,3,4,1
415,130.93,2,50,0,126,18,5,2,1,1,2
416,407.82,5,29,1,174,5,0,1,2,1,2
417,173.22,1,23,0,5,21,6,3,0,1,1
418,76.49,2,23,0,171,19,1,4,3,4,0
419,444.29,2,38,0,312,20,6,3,1,2,1
420,284.01,5,43,0,94,22,4,2,2,2,2
421,385.73,2,40,0,245,1,3,3,3,1,2
422,227.64,3,28,0,244,1,3,3,2,1,0
423,524.22,1,47,0,125,3,2,1,0,1,1
424,416.09,2,22,0,292,5,3,2,1,3,0
425,202.46,3,18,0,340,11,6,3,3,1,2
426,209.63,3,30,0,23,14,3,1,2,1,2
427,497.72,1,41,0,137,23,0,2,3,1,1
428,492.47,5,42,0,361,16,0,1,3,1,2
429,25.66,3,24,0,98,0,2,3,2,3,0
430,304.7,3,51,1,24,11,6,1,3,4,2
431,91.43,5,27,0,341,7,6,1,3,2,2
432,129.42,5,39,0,324,15,6,1,3,0,2
433,51.08,3,39,0,82,20,3,2,3,4,2
434,256.35,5,30,0,288,5,1,1,2,3,0
435,409.33,4,44,0,335,3,1,1,1,1,0
436,47.91,1,26,0,218,11,6,3,1,4,1
437,377.82,1,44,0,177,18,3,2,1,1,0
438,1050.73,1,46,0,185,18,4,3,1,4,0
439,110.97,4,32,0,363,6,2,1,1,0,0
440,433.45,3,40,0,77,22,2,3,3,0,0
441,16.33,4,39,0,73,1,6,2,0,4,0
442,44.09,3,24,0,213,15,2,1,3,4,2
443,403.44,4,46,0,242,10,0,2,3,4,0
444,237.83,1,34,0,353,6,4,3,3,0,1
445,189.05,2,27,0,203,4,1,3,0,2,0
446,246.74,4,35,0,29,2,5,1,3,2,2
447,185.36,5,33,0,50,23,3,1,3,2,1
448,247.85,5,35,0,35,4,2,1,0,3,0
449,1168.86,3,42,0,114,18,0,1,2,2,2
450,531.51,3,54,0,74,13,3,3,1,0,1
451,137.12,1,41,0,288,14,5,1,2,4,2
452,154.65,4,19,0,85,7,6,2,1,4,1
453,267.61,2,21,0,79,15,0,2,1,2,0
454,368.36,5,25,0,237,20,3,2,2,1,2
455,68.35,1,26,0,265,14,4,3,3,0,2
456,28.13,4,31,0,198,5,1,1,1,2,0
457,269.17,4,30,0,351,18,4,1,0,1,0
458,338.04,5,24,0,189,8,3,1,3,2,0
459,735.81,1,41,0,212,2,5,1,1,3,1
460,127.11,3,24,0,73,9,3,1,3,3,0
461,245.62,1,29,0,96,12,4,1,2,4,1
462,46.41,3,37,0,123,3,0,2,0,1,2
463,114.91,2,32,1,10,18,0,2,2,0,0
464,203.02,2,35,0,135,9,1,3,1,1,1
465,71.47,1,46,0,54,21,0,3,3,1,2
466,350.54,4,44,0,77,9,5,3,3,0,0
467,186.59,3,32,0,199,13,0,2,3,4,0
468,33.95,1,49,0,116,15,0,3,0,4,2
469,475.59,2,48,0,248,14,5,3,1,3,2
470,454.57,2,31,0,245,9,0,1,2,4,2
471,152.77,4,23,0,3,18,5,2,2,2,2
472,86.77,2,37,0,314,12,1,1,1,3,0
473,33.07,4,33,0,200,17,6,2,0,3,2
474,120.58,1,28,0,269,3,3,2,3,1,0
475,100.46,1,18,0,109,22,1,2,3,3,1
476,253.11,1,33,0,339,4,5,3,0,1,2
477,12.79,4,18,0,152,5,2,3,3,1,1
478,156.78,2,38,0,297,13,0,1,2,3,0
479,115.41,1,43,0,90,16,3,1,1,1,0
480,125.88,2,41,0,138,2,6,1,3,3,1
481,41.8,5,36,0,69,2,2,3,1,2,2
482,237.2,3,38,0,251,17,3,3,3,2,2
483,313.65,2,34,0,47,5,6,3,1,4,1
484,222.02,4,27,0,308,10,2,1,3,2,0
485,59.92,1,40,0,227,7,0,3,1,0,0
487,75.31,1,45,0,276,10,3,2,3,0,0
488,259.61,4,34,1,10,15,1,1,2,4,0
489,92.36,2,23,0,353,6,1,2,0,0,0
490,34.74,2,39,1,13,8,1,1,2,2,0
491,41.05,3,46,0,195,19,5,1,2,3,0
492,153.32,2,42,0,352,15,6,3,1,4,1
493,579.7,5,34,0,105,12,4,1,3,3,2
494,380.52,3,28,0,43,16,4,1,3,2,2
495,128.06,3,27,0,70,2,5,2,2,1,1
496,66.69,3,33,0,108,3,5,1,2,2,0
497,285.34,5,20,0,99,0,3,2,2,0,0
498,111.51,3,25,0,55,10,1,1,1,0,2
499,347.16,3,40,0,130,2,1,3,0,1,0
500,165.46,4,27,0,355,22,1,1,3,3,1
501,26.91,4,38,0,229,5,4,3,3,0,0
502,32.54,4,42,0,220,21,5,3,1,1,2
503,61.62,1,53,0,116,20,0,3,1,4,1
504,21.67,5,41,0,78,23,1,1,3,4,1
505,42.41,1,27,0,272,18,1,3,2,1,2
506,167.13,1,39,0,222,11,1,2,3,4,0
507,151.27,5,39,0,164,13,1,2,0,0,2
508,511.83,5,31,0,93,4,3,1,3,3,0
509,77.46,2,40,0,303,21,2,1,3,2,1
510,418.24,1,41,0,141,0,0,3,2,2,1
511,20.68,4,49,0,107,16,2,2,1,4,2
512,97.15,5,38,0,174,0,3,2,3,1,1
513,177.57,5,39,0,155,14,0,3,1,1,2
514,143.96,2,36,0,110,2,1,1,2,0,0
515,717.52,1,43,0,223,8,1,3,3,2,1
516,94.65,3,50,0,47,5,6,3,1,0,1
517,207.98,4,47,0,298,8,6,2,3,1,2
518,176.81,4,48,0,217,11,1,2,3,4,0
519,259.47,3,26,0,305,23,2,2,2,1,1
520,646.71,2,33,0,247,3,4,3,0,1,2
521,730.37,4,35,0,32,7,0,1,1,3,2
522,299.42,2,20,0,110,6,2,3,0,1,0
523,10.68,2,50,0,6,11,1,4,1,3,1
524,32.87,5,32,0,190,11,6,2,3,1,0
525,87.76,1,40,0,144,16,3,2,1,3,2
526,125.98,3,45,0,285,0,6,1,0,2,0
527,56.62,3,49,0,324,23,1,2,3,4,0
528,56.14,4,28,0,13,1,6,3,3,1,1
529,134.07,4,47,0,12,6,3,3,0,2,0
530,76.41,3,49,0,314,17,5,3,0,3,2
531,321.94,3,29,0,248,16,6,3,2,1,0
532,54.68,3,53,0,363,4,2,1,2,1,2
533,31.95,2,31,0,163,20,1,2,2,2,1
534,75.09,3,29,0,75,2,3,3,0,3,2
535,25.73,5,24,0,356,15,2,3,2,4,2
536,572.98,4,42,0,285,13,5,2,3,1,1
537,76.41,2,41,0,116,9,0,3,3,4,2
538,365.12,4,27,0,363,17,3,1,0,1,1
539,244.12,3,36,0,334,9,0,1,0,1,1
540,27.5,1,34,0,106,11,3,1,2,4,0
541,27.33,1,49,0,35,18,4,2,2,4,1
542,385.41,3,21,0,80,3,0,1,0,3,0
543,95.55,4,17,0,205,22,3,3,0,4,0
544,422.75,2,25,0,262,14,5,1,1,2,2
545,82.13,3,44,0,250,1,4,2,3,3,2
546,397.97,5,29,0,214,3,3,3,1,1,2
547,17.64,1,25,0,212,15,6,3,1,0,0
548,114.04,3,34,0,101,4,6,1,1,0,2
549,529.52,1,39,0,170,10,1,2,0,2,1
550,52.93,3,32,0,60,15,4,2,0,0,0
